#OTU ID;Domain;Phylum;Class;Order;Family;Genus;species
56da3551f7fd7f64bd67a33ab7184911;Bacteria;Verrucomicrobiota;Kiritimatiellae;113B434;113B434;113B434;uncultured_bacterium
0e86efdc08432fc329a61a6f8a7fc71b;Bacteria;Patescibacteria;Gracilibacteria;Absconditabacteriales_(SR1);Absconditabacteriales_(SR1);Absconditabacteriales_(SR1);candidate_division
b2d8c23b9462d20a0de0dfc500c7729d;Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;uncultured_bacterium
be89b5d460b5654282a351c0e573a2c6;Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;uncultured_bacterium
8cc35b16ab18729aa673aa0b23304afa;Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;uncultured_bacterium
07befdfc9607a494e400f77708ac311f;Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;Unknown
645c91d9956fb572dda7bb1d4fd9aaaf;Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;uncultured;uncultured_bacterium
886c2ff75d13364900c91c4c186c3f95;Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;metagenome
62b7427e1388d5c990ed91b1b1f894c7;Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;Aminicenantales;Aminicenantales;metagenome
afb7bc542beb23ab269e3b76afd87351;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;toluene-degrading_methanogenic
31c0202443e3728abcf335ceaef2313d;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;toluene-degrading_methanogenic
7ccd89b3d757e98e3fd9796117ca9aed;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;toluene-degrading_methanogenic
842f2e4f8abb0bfa9423e4cb29534c0e;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_anaerobic
7068e5d2f4b269df198b4adb8269084c;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_anaerobic
c376d4b7d42990777b35ce3ad3e39a7a;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_anaerobic
8243f52676be643d1864c12639dd944c;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_anaerobic
552d63f167e2687ba9c514177af00810;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;ADurb,Bin120;uncultured_bacterium
5add6702458ce4f13a83a573c6c6e180;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;uncultured_bacterium
3e364552d5b28368cc605fb0e4eb5a80;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_bacterium
7846f8ad304199432a540a20a2b7ff77;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_bacterium
3081c53d6fdfac7eb1bb3bfe86efbd7a;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_bacterium
548214524f4b2bf84d4f153cb17994f3;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_bacterium
5977fba62942c39c96a86b9c0956e4ea;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_bacterium
90815f13521b7b225f0095590eb23cd9;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_bacterium
6f0e4165db4629668eabec857eeaca59;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_bacterium
93aaa856cb70adb7941dfb0f011c4258;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_Longilinea
30208b9f770ec60cfa92c8a8cfd67077;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_Longilinea
4d7ec2fa84adbf5a18e3c1078cbe82e0;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_Longilinea
9c1ada54de5358a237f397d4151dbdf2;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_Longilinea
be01287f6931a920a219e1b912ee633c;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_Longilinea
c43dc6448b1d4422e5591525261f9c94;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_Longilinea
9f9f4ccdacb1099246c00c833c93d76e;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_Longilinea
c6dd23ab169bb9a15444c938fdf1f2cf;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_Longilinea
